timestamp_ms,exp_id,barrier_type,target_dist_m,target_state,ground_truth_present,vbat,has_target,radar_dist_cm,static_energy,moving_energy,radar_score,doppler_wake,pitch_deg,roll_deg,tilt_deg,w_theta,co2_ppm,co2_rate,temp_c,humidity_pct,acoustic_peak_mv,knocks,fused_confidence_pct,classification
1000,EXP-03,PLYWOOD_12MM,1.0,STATIONARY,1,3.94,1,105,74,10,71.5,0,4.2,2.1,4.7,0.997,540,0.85,26.4,59.2,45,0,73.4,PROBABLE OCCUPANT
2000,EXP-03,PLYWOOD_12MM,1.0,STATIONARY,1,3.94,1,102,78,8,73.5,0,4.2,2.0,4.6,0.997,552,0.92,26.4,59.2,48,0,76.2,CONFIRMED HUMAN PRESENCE
3000,EXP-03,PLYWOOD_12MM,1.0,STATIONARY,1,3.93,1,104,82,12,77.5,0,4.1,2.2,4.6,0.997,565,1.10,26.5,59.1,52,0,81.0,CONFIRMED HUMAN PRESENCE
4000,EXP-03,PLYWOOD_12MM,1.0,STATIONARY,1,3.93,1,103,79,15,76.6,0,4.3,2.1,4.8,0.996,578,1.25,26.5,59.0,50,0,80.5,CONFIRMED HUMAN PRESENCE
5000,EXP-03,PLYWOOD_12MM,1.0,STATIONARY,1,3.93,1,101,84,9,77.8,0,4.2,2.1,4.7,0.997,590,1.30,26.5,59.1,55,0,82.4,CONFIRMED HUMAN PRESENCE
6000,EXP-03,PLYWOOD_12MM,1.0,STATIONARY,1,3.92,1,102,80,10,75.5,0,4.2,2.1,4.7,0.997,605,1.40,26.6,58.9,48,0,81.8,CONFIRMED HUMAN PRESENCE
7000,EXP-03,PLYWOOD_12MM,1.0,STATIONARY,1,3.92,1,103,76,14,74.3,0,4.2,2.1,4.7,0.997,618,1.42,26.6,58.9,50,0,80.9,CONFIRMED HUMAN PRESENCE
8000,EXP-03,PLYWOOD_12MM,1.0,STATIONARY,1,3.92,1,105,75,11,72.6,0,4.3,2.0,4.7,0.997,630,1.45,26.6,58.8,54,0,79.8,CONFIRMED HUMAN PRESENCE
9000,EXP-03,PLYWOOD_12MM,1.0,STATIONARY,1,3.91,1,102,81,8,75.5,0,4.2,2.2,4.7,0.997,642,1.50,26.7,58.8,49,0,82.0,CONFIRMED HUMAN PRESENCE
10000,EXP-03,PLYWOOD_12MM,1.0,STATIONARY,1,3.91,1,104,79,12,75.6,0,4.2,2.1,4.7,0.997,655,1.52,26.7,58.7,51,0,82.5,CONFIRMED HUMAN PRESENCE
